BiGG,MNXM,Name,PC1,PC2,PC3,PC4,PC5
M_arbtn_fe3_c,MNXM1101937,Aerobactin,0.4647585182196685,9.17908693193481,-3.011831646967184,3.199881671869807,-0.2614364730331565
M_arbtn_c,MNXM1101938,aerobactin,1.0007733946876212,-0.9021463581786878,-0.1325129059563944,0.4913321003311418,0.0712013775607075
M_5mta_c,MNXM1101977,S-methyl-5'-thioadenosine,-2.0590308705341074,-1.1428169328702646,0.4379003131952514,-0.1596434213419091,0.7989745190941298
M_gp4g_c,MNXM1102064,"P(1),P(4)-bis(5'-guanosyl) tetraphosphate",4.311087345421886,-0.6042348575472962,-0.2824331015016082,2.339740682275488,1.6940283139294992
M_amet_c,MNXM1102072,(S)-S-adenosyl-L-methionine,-0.5876426208817996,-0.9009667178382684,0.1554233404936095,0.5328943721696113,0.5572576855625629
M_udp_c,MNXM1102128,UDP,-0.4411513811529532,-1.386095320712314,-0.3568088464889575,2.0279565054319955,0.95438370411305
M_mlthf_c,MNXM1102150,"(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate",0.0252194183657049,-0.3326384149966565,-0.2578372481359099,0.7346543488991953,0.8910310379795966
M_xtp_c,MNXM1102152,XTP,0.8424943212763106,-1.1746498489530246,-0.3685886006698953,2.293679103730172,1.072284104545009
M_ahcys_c,MNXM1102167,S-adenosyl-L-homocysteine,-0.8723480331889567,-0.8845205773230135,0.1499514118617642,0.5300705063026305,0.5694829603872279
M_3amp_c,MNXM1102173,3'-AMP,-1.0213696313871865,-1.591726091536964,-0.008843327742847,1.3302052586946422,1.03319274254836
M_udpgalfur_c,MNXM1102185,UDP-alpha-D-galactofuranose,1.3932849411318662,-1.2108962611937997,-0.3427310127694181,2.202131055164301,1.1193508940908805
M_3ump_c,MNXM1102189,3'-UMP,-1.2602862180424093,-1.539786704638669,-0.2186003154116517,1.541009226523118,0.9200372447293657
M_cdp_c,MNXM1102191,CDP,-0.3620365636185277,-1.3751562388826215,-0.3807116131365894,2.1567048913886886,0.7922678839407626
M_db4p_c,MNXM1102294,2-hydroxy-3-oxobutyl phosphate,-2.9211721802860997,-1.2623903224777793,-0.0146338497977447,0.8009209950650533,-0.0031837576247933
M_10fthf_c,MNXM1102376,(6S)-10-formyltetrahydrofolate,0.1490177080350532,-0.1928005487987435,-0.2737946345683963,0.6654218910578514,0.8879479507997231
M_aps_c,MNXM1103086,adenosine 5'-phosphosulfate,-0.1050350186855839,-1.337771999752637,-0.1050940463570244,1.6893750601671411,0.7795715704824031
M_uri_c,MNXM1103104,uridine,-2.336915829489701,-0.3286868897310207,-0.0416459325948994,0.1488710227662316,0.8874834980118835
M_r1p_c,MNXM1103205,alpha-D-ribose 1-phosphate,-2.126658627121964,-1.944859785672696,-0.0145608065315568,1.3764772691903824,0.7158744612977788
M_gdp_c,MNXM1103285,GDP,0.1143654893350601,-1.2329414597083967,-0.40995146137664,2.296011805662613,0.8158840184710402
M_dnad_c,MNXM1103300,deamido-NAD(+),2.358569910473746,-1.2746964389548847,-0.2449017393319203,2.040353446020477,1.2430447055028608
M_cmp_c,MNXM1103302,CMP,-1.211559362890057,-1.548917455575146,-0.1734238273270259,1.5507084382684908,0.8045276071425334
M_dad_5_c,MNXM1103313,5'-deoxyadenosine,-2.504660279054609,-0.3243442111417531,0.3217968711766977,-0.539891554515987,1.0387742482588702
M_3hodcoa_c,MNXM1103315,(S)-3-hydroxyoctadecanoyl-CoA,5.502871173588724,-0.510702531141063,0.1201950515467747,0.8687515218701978,-1.0579541400690349
M_ametam_c,MNXM1103325,S-adenosyl 3-(methylsulfanyl)propylamine,-1.121727774039905,-1.2747704612733852,0.3167023961036396,0.2216111989715372,0.6316273735758924
M_ins_c,MNXM1103335,inosine,-2.2154762932890195,-0.241266066627457,0.1715203628926052,-0.1306985949060236,1.072362877516484
M_frdp_c,MNXM1103344,"(2E,6E)-farnesyl diphosphate",-1.095052637370613,-1.65027782417206,0.0078685617791662,0.8025263565820018,-0.8568382156073024
M_aicar_c,MNXM1103365,5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide,-0.9585779486188842,-1.377746993459655,-0.1524707305431278,1.5827957625900295,0.7288750951622833
M_gsn_c,MNXM1103400,guanosine,-1.964207712167477,-0.2241850867248743,0.1406106564905236,-0.0230802266807481,1.0269895068455617
M_itp_c,MNXM1103428,ITP,0.6777745096699725,-1.1909294086813769,-0.3763058237202615,2.328721673132077,0.9366460966260226
M_1ddecg3p_c,MNXM1103432,1-dodecanoyl-sn-glycerol 3-phosphate,-0.9954775048101308,-1.540686106114401,-0.1183715593998651,1.1097456565008594,-0.962248688721338
M_3mop_c,MNXM1103447,(S)-3-methyl-2-oxopentanoate,-3.562712142623899,-0.8005203314397418,0.0901387388491949,-0.2704433524739189,0.1657126955178563
M_pap_c,MNXM1103458,"adenosine 3',5'-bisphosphate",-0.299847869921838,-1.5396356007671117,-0.005053245255008,1.4524962423494296,1.2542601388903982
M_gtp_c,MNXM1103553,GTP,0.8962669662479165,-1.184851843022474,-0.3946745196139583,2.373775759906751,0.9836433876691416
M_orot5p_c,MNXM1103557,orotidine 5'-phosphate,-0.7856989073407482,-1.446820046079201,-0.2492559194985872,1.7184006302756003,1.0921448498179638
M_hxcoa_c,MNXM1103616,hexanoyl-CoA,4.042015725220844,-1.0029915536341818,-0.2782319533985341,2.040083881957894,0.2336962506740164
M_dcamp_c,MNXM1103622,"N6-(1,2-Dicarboxyethyl)-AMP",0.1784963336754208,-0.7647503784532634,-0.1127141035975283,1.3927429060734344,0.5524868176858201
M_kphphhlipa_c,MNXM1103668,inner core oligosaccharide-lipid A with Kdo(III) (E. coli),25.9812127554218,1.823234241256112,0.6980084518735592,-1.0287853421059252,1.601585129837948
M_mococdp_c,MNXM1103700,Mo-molybdopterin cytosine dinucleotide,1.883588823427792,9.32133292837318,-3.0550495163990306,3.541570493733164,0.426699014249531
M_adocbi_c,MNXM1103715,adenosylcob(III)inamide,6.201986154486872,10.36922924376753,-2.5178093908684955,1.0972164160872515,-1.4114226894373836
M_ctp_c,MNXM1103718,CTP,0.4305607506313508,-1.3318076585036,-0.3679756409521527,2.2337434008270107,0.923573472098077
M_25drapp_c,MNXM1103734,"2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine",-0.8039019881940792,-1.4322605582567012,-0.1867392064229249,1.652055783944283,0.8440489837391594
M_xtsn_c,MNXM1103769,xanthosine,-1.9670523372059492,-0.1281591559977323,0.079788280416378,0.1109933592205468,1.0037047461933009
M_3otdcoa_c,MNXM1103776,3-oxotetradecanoyl-CoA,5.178833220891266,-0.7944932076011001,-0.1992717823826645,1.7273417364753945,-0.2299674398632271
M_aacoa_c,MNXM1103802,acetoacetyl-CoA,3.960353437717469,-0.9921651230082642,-0.301436568359322,2.138865313945238,0.6159701810575848
M_ap4a_c,MNXM1103833,"P(1),P(4)-bis(5'-adenosyl) tetraphosphate",3.95332429354528,-0.9233048704400716,-0.0240641801635426,1.8694514574495815,1.5383515099434926
M_alac__S_c,MNXM1103847,(2S)-2-acetolactate,-3.511889791710122,-1.1041635908914098,0.1482387751393772,-0.3311905476488694,0.551141307125408
M_glcur1p_c,MNXM1103867,1-phospho-alpha-D-glucuronate,-1.7308088555381254,-2.104639656410822,0.06952133719728,0.94588249664828,1.5813134209060244
M_malthx_c,MNXM1103926,alpha-maltohexaose,5.273458869131448,0.0782486966485418,0.3957873032574541,0.0411610897658118,3.842812720329503
M_tagdp__D_c,MNXM1103932,"D-tagatofuranose 1,6-bisphosphate",-1.1535829712145376,-1.9261057609713808,0.022640618716503,1.3424692349145575,1.2438673233110065
M_thf_c,MNXM1103936,"(6S)-5,6,7,8-tetrahydrofolate",-0.1473034414952232,-0.1794849745478449,-0.2800337097404989,0.6382097793892265,0.8189493889438891
M_melib_c,MNXM1103964,Melibiose,-1.2406983841850072,-0.6370704698565397,0.2204634542437468,0.0968234209598634,1.4551068826748592
M_maltpt_c,MNXM1104039,alpha-maltopentaose,3.6929791767748745,-0.1635223980262271,0.3422663116337743,0.1016467403507459,3.224356561085887
M_r5p_c,MNXM1104056,alpha-D-ribose 5-phosphate,-2.2071872138189077,-1.3176491723304056,-0.0323710967642875,1.2312790894483263,0.2804370646713409
M_gam6p_c,MNXM1104065,alpha-D-glucosamine 6-phosphate,-1.7951231859973285,-1.912730574187242,-0.0300733919691225,1.353414312240925,0.6458904954118387
M_unagamuf_c,MNXM1104103,"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose",9.778876761144732,-0.0247837306313174,0.2116200072713663,-0.1328535405784834,-2.17210119787625
M_malthp_c,MNXM1104130,alpha-maltoheptaose,6.851309895946027,0.3201350620535842,0.4495983672986941,-0.038670059551063,4.451440992679392
M_gdpddman_c,MNXM1104155,GDP-4-dehydro-alpha-D-rhamnose,1.6855572143401334,-1.1814539026424868,-0.3643424407844554,2.276161426292406,0.93050332265017
M_td2coa_c,MNXM1104173,(2E)-tetradecenoyl-CoA,4.968848900409225,-0.8110548414540036,-0.2040635319061008,1.6914760989992097,-0.3628357216461741
M_sucr_c,MNXM1104180,sucrose,-1.154157796707646,-0.839438546360239,0.1794982271058899,0.2095755314964825,1.4054421102645387
M_rml1p_c,MNXM1104186,L-rhamnulose 1-phosphate,-2.117278653791145,-2.0822248782837804,0.0244073263817356,0.8511452125310596,0.5421783576099385
M_gdpmann_c,MNXM1104188,GDP-alpha-D-mannose,1.9018173648301813,-1.256784174933968,-0.3561674245980006,2.356968081207637,1.1208377573549382
M_micit_c,MNXM1104204,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate",-2.718037079702885,-1.3818190106425896,0.230373993024239,-0.3019654842540951,1.085222839559886
M_cytd_c,MNXM1104207,cytidine,-2.4430837046137,-0.1372445840822844,0.0824688016585592,-0.0401951453646918,0.8687742882106875
M_2ommbl_c,MNXM1104227,"6-methoxy-3-methyl-2-all-trans-octaprenyl-1,4-benzoquinol",1.1976455461756996,0.8899048649866044,0.6430980645386003,-2.1826369065065494,-2.8720589321346925
M_accoa_c,MNXM1104266,acetyl-CoA,3.5529909496208143,-1.0712422109687498,-0.3161117678070667,2.169674745830624,0.5630130272911346
M_b2coa_c,MNXM1104270,(2E)-butenoyl-CoA,3.752434508347677,-1.0030661594376764,-0.3049866343415416,2.089969445555665,0.4844436919242027
M_2omhmbl_c,MNXM1104278,3-demethylubiquinol-8,1.4471107129185192,0.8142953679806672,0.596756890916058,-1.9503926707275272,-2.81923164550992
M_tdcoa_c,MNXM1104283,tetradecanoyl-CoA,5.024641619110415,-0.8281608869884963,-0.193528577068987,1.6789564962604675,-0.4552498274689759
M_btcoa_c,MNXM1104300,butanoyl-CoA,3.800068210847926,-1.0370811039293906,-0.2981922374148887,2.09025523382621,0.3856204384718077
M_dtdp4d6dm_c,MNXM1104310,dTDP-4-dehydro-beta-L-rhamnose,1.1359866270997083,-1.3003400701897485,-0.3499492765855152,2.139967915237981,0.5635156765287976
M_malt6p_c,MNXM1104316,alpha-maltose 6'-phosphate,-0.0799865395425734,-1.865213493912853,0.0405659460993831,1.4436992610355646,1.351977733553841
M_hhlipa_c,MNXM1104340,Heptosyl-heptosyl-kdo2-lipidA,20.577896493475944,1.067836096349052,0.5566687805179384,-1.0644609750207332,-1.0316649029260012
M_stcoa_c,MNXM1104352,octadecanoyl-CoA,5.512658382648566,-0.7357148568264361,-0.1498160585192519,1.5021548717216069,-0.788116558500469
M_3hadpcoa_c,MNXM1104364,(3S)-3-hydroxyadipyl-CoA,4.547548486206735,-0.9119809810835672,-0.2855818189676141,2.1190346809306924,0.9356080829803136
M_moco_c,MNXM1104368,Mo-molybdopterin,-0.9480198531724604,9.00512721157077,-3.1375079500593483,3.6049040686044487,-0.0756665703345933
M_xmp_c,MNXM1104385,XMP,-0.7761985096078615,-1.110262200745812,-0.3747106612546365,1.8793669759488871,0.7485196831597366
M_4ampm_c,MNXM1104391,4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine,-2.5991260111366423,-1.3625944557453396,-0.0016734795463434,0.8170494544289709,0.575223725303074
M_5mthf_c,MNXM1104393,"(6S)-5-methyl-5,6,7,8-tetrahydrofolate",0.0125360802494901,-0.2981844370314461,-0.2613923104741708,0.6077774282589248,0.7637599858257107
M_preq1_c,MNXM1104395,7-aminomethyl-7-carbaguanine,-3.155909314539896,-0.0543860999720089,0.0621709440138699,-0.4068472050679037,0.7466561611649328
M_cdpdhdecg_c,MNXM1104403,"1,2-dihexadecanoyl-sn-glycero-3-CDP",4.834872853648862,-0.642962774511518,-0.0917531865370971,0.9806315534701944,-2.106090235162565
M_lcts_c,MNXM1104432,lactose,-1.2187214265914816,-0.7657142680814472,0.2264956324101865,0.02113340682471,1.461912486701004
M_ddcacoa_c,MNXM1104435,dodecanoyl-CoA,4.780937491410123,-0.8717925614316039,-0.2159596090527499,1.7512007299323509,-0.297067795930219
M_prpp_c,MNXM1104453,5-phospho-alpha-D-ribose 1-diphosphate,-0.6572989187405779,-1.952087453407291,-0.063289272808061,1.5597211739473824,1.1414912323308355
M_sbt6p_c,MNXM1104463,D-sorbitol 6-phosphate,-1.900019852879406,-2.166210891251269,0.1426438850149613,0.854777578403688,0.6031634802338147
M_6pgl_c,MNXM1104491,"6-phospho-D-glucono-1,5-lactone",-1.742759365254649,-1.8121464217173944,-0.1754386192497595,1.5300661540853682,0.7772390438123433
M_dtdp4d6dg_c,MNXM1104509,dTDP-4-dehydro-6-deoxy-alpha-D-glucose,1.136956179903718,-1.2988582328390292,-0.3505718339849784,2.125910209938678,0.5543664473533327
M_allul6p_c,MNXM1104516,D-allulose 6-phosphate,-1.9059043652943144,-2.07146109161085,0.0322409864999152,0.897751114327896,0.6556800864281918
M_fprica_c,MNXM1104518,5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,-0.7290979073977502,-1.3665795414379764,-0.1722512211751332,1.553306518025997,0.682889207984056
M_gar_c,MNXM1104522,N(1)-(5-phospho-beta-D-ribosyl)glycinamide,-1.441177569364327,-1.3759536870343296,-0.352117056963924,1.8934824655786948,0.2090168758702275
M_malttr_c,MNXM1104527,alpha-maltotriose,0.4757781180586737,-0.6145452567076959,0.2491358035750591,0.1058165044374756,2.001219582077119
M_uacgam_c,MNXM1104529,UDP-N-acetyl-alpha-D-glucosamine,1.8154569484088177,-1.3540203921735996,-0.3323918971158882,2.1048350229119026,0.9708397507431812
M_dpcoa_c,MNXM1104543,3'-dephospho-CoA,2.410282390676852,-1.0832116483810834,-0.3131547027588058,2.0320018041688974,0.2649935126485874
M_adprib_c,MNXM1104545,ADP-ribose,1.257283212954187,-0.933324434185068,-0.0760066622179025,1.6010237996799368,0.6996581641327406
M_pram_c,MNXM1104549,5-phospho-beta-D-ribosylamine,-2.1431770804184405,-1.6627862103773825,-0.0557006756592568,1.301741303707366,0.4685960240568937
M_adocbl_c,MNXM1104551,adenosylcob(III)alamin,9.631891723233371,10.55278320371156,-2.638962358022049,1.591497044761125,-1.0554290309073464
M_paps_c,MNXM1104555,3'-phosphoadenylyl sulfate,0.6511702514450868,-1.4281910792312742,-0.1454587227715126,1.8135077644677904,0.9854616607029546
M_idp_c,MNXM1104559,IDP,-0.1166465725066632,-1.232017904251144,-0.3904103322029388,2.1616873465515063,0.7563587838461542
M_phaccoa_c,MNXM1104563,phenylacetyl-CoA,4.218649524453262,-0.8192805301631346,-0.2866782166190935,1.962242593038448,0.4450035542944218
M_3ohodcoa_c,MNXM1104572,3-oxooctadecanoyl-CoA,5.669518151870481,-0.6995645827470048,-0.1573144034946285,1.5055002150486965,-0.5926749403611508
M_mnl_c,MNXM1104590,D-mannitol,-3.082412068513789,-0.7336763151484025,0.398027693340431,-0.6914090462797967,0.6926927819092419
M_maltttr_c,MNXM1104617,alpha-maltotetraose,2.09871996258369,-0.3879156016698218,0.2927643604289336,0.0954154314889015,2.5864890181349613
M_dc2coa_c,MNXM1104631,(2E)-decenoyl-CoA,4.4810099690919625,-0.8916512761925015,-0.2495113764632754,1.8192145545113665,-0.0512100781053867
M_hdd2coa_c,MNXM1104633,(2E)-hexadecenoyl-CoA,5.216184649287666,-0.7628319780373449,-0.1837947528839865,1.5671359623055772,-0.5555600040844448
M_25aics_c,MNXM1104647,(2S)-2-[5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamido]succinate,0.2786567319367407,-1.4383224908201984,-0.1957843824456433,1.6153616785389555,1.305423436093422
M_dd2coa_c,MNXM1104661,(2E)-dodecenoyl-CoA,4.726638764096646,-0.849733235159183,-0.2278977130803184,1.733871069511448,-0.2217851900984866
M_prpncoa_c,MNXM1104673,acryloyl-CoA,3.6422153822090952,-1.013719676927347,-0.3147917110066301,2.0886039145561424,0.5379474860433804
M_alaala_c,MNXM1104679,D-alanyl-D-alanine,-3.3387754622639805,-0.3589724465208196,0.0257619263518232,-0.3699906711448678,-0.0081965397192792
M_3hdcoa_c,MNXM1104681,(3S)-hydroxydecanoyl-CoA,4.706361816449782,-0.8946286736292944,-0.242948243828787,1.8516097062428567,0.0755214612658731
M_3odcoa_c,MNXM1104685,3-oxodecanoyl-CoA,4.6941135292869856,-0.8741082669359995,-0.2456834659511945,1.838209327550564,0.0661269607052742
M_3oddcoa_c,MNXM1104695,3-oxododecanoyl-CoA,4.938739255982925,-0.8318049653970697,-0.2239426151585876,1.7533737506075115,-0.1018538316416758
M_3ohcoa_c,MNXM1104699,3-oxohexanoyl-CoA,4.205488942870758,-0.9518357155811864,-0.2855914730475794,2.0009667706920644,0.4046178564487832
M_udpg_c,MNXM1104702,UDP-alpha-D-glucose,1.4166385829020522,-1.3693120304257391,-0.3285063399316475,2.131061717199102,1.0998073702521658
M_3hddcoa_c,MNXM1104711,(3S)-3-hydroxydodecanoyl-CoA,4.950677310915606,-0.8509812846969484,-0.2211450812137833,1.7617948076686587,-0.0930043079272413
M_3ohdcoa_c,MNXM1104713,3-oxohexadecanoyl-CoA,5.426952077400577,-0.7434253056947838,-0.17997285323266,1.5791080512962896,-0.4362421417412317
M_hx2coa_c,MNXM1104717,(2E)-hexenoyl-CoA,3.988761381123759,-0.9674534755465164,-0.2900003592331844,1.9706272573928856,0.2836505706330698
M_3hhcoa_c,MNXM1104721,(3S)-hydroxyhexanoyl-CoA,4.218919777051345,-0.9741454916069928,-0.2830684217524374,2.0091531668124643,0.4095567568052782
M_3hocoa_c,MNXM1104724,(3S)-hydroxyoctanoyl-CoA,4.4618865692812095,-0.9353379717751442,-0.2640566478948202,1.92615807751076,0.2393436189996022
M_3htdcoa_c,MNXM1104726,(3S)-hydroxytetradecanoyl-CoA,5.194642010391265,-0.8061453895931908,-0.1991038172403792,1.6713833398975018,-0.2608703231762316
M_kdo2lipid4_c,MNXM1104740,alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA,13.346865532014435,0.0036427000562753,0.2064313963358793,0.2607831840820467,-0.4836257646065329
M_udpgal_c,MNXM1104754,UDP-alpha-D-galactose,1.417123359304057,-1.36857111175038,-0.3288176186313789,2.1240328645494504,1.0952327556644323
M_cbl1_c,MNXM1104756,cob(I)alamin,7.210818308337155,9.231205176273829,-1.7706843009212687,0.2385640806534502,-1.2460412856169232
M_succoa_c,MNXM1104774,succinyl-CoA,4.136093289012364,-0.9637666376336744,-0.3044751959125918,2.1174983291903247,0.8566136521742863
M_od2coa_c,MNXM1104783,(2E)-octadecenoyl-CoA,5.461514631509439,-0.7161360552487507,-0.1625140133883442,1.4636386680274656,-0.7330762525109067
M_f1p_c,MNXM1104787,beta-D-fructose 1-phosphate,-1.7812777207309125,-1.981777138290277,-0.026384088156097,1.3431844322263502,0.7579137735723742
M_ump_c,MNXM1104823,UMP,-1.289341750262632,-1.4125439871602414,-0.2279605146417457,1.4174541615700698,0.8916677252236125
M_sheme_c,MNXM1104857,siroheme,3.473276045834283,9.913129711213568,-2.7483849492556542,2.168071158328372,0.6943615583084394
M_adocbip_c,MNXM1104880,adenosylcob(III)inamide phosphate,7.107151148541465,10.282892157987185,-2.69723786397014,1.8321684321355567,-1.1756358196638044
M_udpglcur_c,MNXM1104890,UDP-alpha-D-glucuronate,1.5800126164615325,-1.362664465607858,-0.353702555727093,2.192376022089505,1.395590559203595
M_4ahmmp_c,MNXM1104899,4-amino-5-hydroxymethyl-2-methylpyrimidine,-3.955091962781293,0.4892389288576615,0.3791813851256112,-1.3858624644807889,0.5671042245784852
M_gam1p_c,MNXM1104944,alpha-D-glucosamine 1-phosphate,-1.7698391335018764,-2.0125281918555817,-0.0467361620600733,1.3404223262195336,0.5172243806032941
M_glc__D_c,MNXM1105029,D-glucose,-2.923295192624516,-0.7838245374962654,0.2163361630514075,-0.1569285144823275,0.8123242334818411
M_dxylnt_c,MNXM1105052,D-xylonate,-3.1068965834724245,-1.0055756733690142,0.1747277668872879,-0.3362283093902883,0.8782971388146038
M_1pyr5c_c,MNXM1105060,(S)-1-pyrroline-5-carboxylate,-3.722314178887288,-0.5153372296642166,0.112601894611036,-0.4553834066716674,0.5717887208199203
M_gam_c,MNXM1105684,beta-D-glucosamine,-2.925020756603008,-0.8033268207610481,0.2241279981371839,-0.2095190144033534,0.7840683330049961
M_ala__D_c,MNXM1105731,D-alanine,-4.10335281242825,0.0497795160347977,-0.0082539586274704,-0.488422305078292,0.3311078748482294
M_ala__L_c,MNXM1105732,L-alanine,-4.103292215378001,0.0498721308692176,-0.0082928684649368,-0.4893009116594988,0.3305360480247627
M_crn_c,MNXM1105737,(R)-carnitine,-3.1958564099628064,-1.090729127007845,0.0165781311870237,-0.2101642183563965,0.4102668516618392
M_uacmamu_c,MNXM1105744,UDP-N-acetyl-alpha-D-mannosaminouronate,1.986850031716925,-1.35086489337848,-0.3572928580928993,2.15141123267386,1.2367507253456158
M_adn_c,MNXM1105760,adenosine,-2.2451092737337035,-0.3218813004448813,0.2907702015054695,-0.4841413547674014,1.0688988319413444
