Line	Source	BiGG	MNXM	Stuff	
12: bigg.metabolite:	oh1	MNXM02	Hydroxideion
195078: bigg.metabolite:	cca_d3	MNXM10864	Calcitroicacid(D3)
198637: bigg.metabolite:	oxur	MNXM1088	Oxalureate
200488: bigg.metabolite:	clpn160190	MNXM10889	Cardiolipin(dihexadecanoyl,dimethylstearoyl)
200605: bigg.metabolite:	CE5101	MNXM1089002	1-Phosphatidyl-1D-Myo-Inositol5-Phosphate
200608: bigg.metabolite:	HC02050	MNXM1089003	Phosphatidate-Ld-Pc-Pool
200611: bigg.metabolite:	HC02051	MNXM1089004	Phosphatidate-Ld-Pe-Pool
200614: bigg.metabolite:	HC02054	MNXM1089005	Phosphatidate-Ld-Sm-Pool
200617: bigg.metabolite:	HC02056	MNXM1089006	1,2-Diacylglycerol-Ld-Pc-Pool
200620: bigg.metabolite:	HC02057	MNXM1089007	1,2-Diacylglycerol-Ld-Pe-Pool
200623: bigg.metabolite:	HC02060	MNXM1089008	1,2-Diacylglycerol-Ld-Sm-Pool
200626: bigg.metabolite:	HC02070	MNXM1089009	Fatty-Acid-Ld-Sm-Pool
200629: bigg.metabolite:	HC02076	MNXM1089010	1-Acylglycerol-Ld-Sm-Pool
200632: bigg.metabolite:	M00213	MNXM1089011	ProteinN6-Methyl-L-Lysine
200635: bigg.metabolite:	M00234	MNXM1089012	1,2-Diacylglycerol-Chylomicron-Pool
200638: bigg.metabolite:	M00503	MNXM1089013	Monoacylglycerol-Chylomicron-Pool
200641: bigg.metabolite:	M00510	MNXM1089014	1-Acylglycerol-VLDL-Pool
200644: bigg.metabolite:	M01820	MNXM1089015	Fatty-Acid-VLDL-Pool
200647: bigg.metabolite:	M02195	MNXM1089016	Fuc-alpha1->2Gal-beta1->3GlcNAc-beta1->3Gal-beta1->4Glc-beta1-1'Cer
200650: bigg.metabolite:	M02683	MNXM1089017	Paragloboside
200653: bigg.metabolite:	M02686	MNXM1089018	Pe-Nme-Ld-Pool
200656: bigg.metabolite:	M02758	MNXM1089019	Phosphatidyl-N-Dimethylethanolamine
200659: bigg.metabolite:	M02956	MNXM1089020	Tags-Chylomicron-Pool
203804: bigg.metabolite:	Stmyn	MNXM1091	Streptomycin
204688: bigg.metabolite:	10m3ouACP	MNXM1091487	10-methyl-3-oxo-undecanoyl-ACP
204691: bigg.metabolite:	10m3uACP	MNXM1091488	10-methyl-3-hydroxy-undecanoyl-ACP
204694: bigg.metabolite:	10mdACP	MNXM1091489	10-methyl-dodecanoyl-ACP
204699: bigg.metabolite:	10mtd2eACP	MNXM1091490	10-methyl-trans-dodec-2-enoyl-ACP
204702: bigg.metabolite:	10mtu2eACP	MNXM1091491	10-methyl-trans-undec-2-enoyl-ACP
204705: bigg.metabolite:	10muACP	MNXM1091492	10-methyl-undecanoyl-ACP
204708: bigg.metabolite:	11m3hdACP	MNXM1091493	11-methyl-3-hydroxy-dodecanoyl-ACP
204711: bigg.metabolite:	11m3odACP	MNXM1091494	11-methyl-3-oxo-dodecanoyl-ACP
204714: bigg.metabolite:	11mdACP	MNXM1091495	11-methyl-dodecanoyl-ACP
204717: bigg.metabolite:	11mtdeACP	MNXM1091496	11-methyl-trans-dodec-2-enoyl-ACP
204720: bigg.metabolite:	123oxtACP	MNXM1091497	12-methyl-3-oxo-tetra-decanoyl-ACP
204723: bigg.metabolite:	12dgr140160	MNXM1091498	1,2-Diacyl-sn-glycerol(14:0/16:0)
204726: bigg.metabolite:	12dgr1401619Z	MNXM1091499	1,2-Diacyl-sn-glycerol(14:0/16:1(9Z))
204731: bigg.metabolite:	12dgr140162n4	MNXM1091500	1,2-Diacyl-sn-glycerol(14:0/16:2(9Z,12Z))
204734: bigg.metabolite:	12dgr140163n4	MNXM1091501	1,2-Diacyl-sn-glycerol(14:0/16:3(6Z,9Z,12Z))
204737: bigg.metabolite:	12dgr140180	MNXM1091502	1,2-Diacyl-sn-glycerol(14:0/18:0)
204740: bigg.metabolite:	12dgr1401819Z	MNXM1091503	1,2-Diacyl-sn-glycerol(14:0/18:1(9Z))
204743: bigg.metabolite:	12dgr140182n6	MNXM1091504	1,2-Diacyl-sn-glycerol(14:0/18:2(9Z,12Z))
204746: bigg.metabolite:	12dgr140183n3	MNXM1091505	1,2-Diacyl-sn-glycerol(14:0/18:3(9Z,12Z,15Z))
204749: bigg.metabolite:	12dgr140183n6	MNXM1091506	1,2-Diacyl-sn-glycerol(14:0/18:3(6Z,9Z,12Z))
204752: bigg.metabolite:	12dgr140204n6	MNXM1091507	1,2-Diacyl-sn-glycerol(14:0/20:4(5Z,8Z,11Z,14Z))
204755: bigg.metabolite:	12dgr140205n3	MNXM1091508	1,2-Diacyl-sn-glycerol(14:0/20:5(5Z,8Z,11Z,14Z,17Z))
204758: bigg.metabolite:	12dgr140226n3	MNXM1091509	1,2-Diacyl-sn-glycerol(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
204761: bigg.metabolite:	12dgr160140	MNXM1091510	1,2-Diacyl-sn-glycerol(16:0/14:0)
204764: bigg.metabolite:	12dgr1601619Z	MNXM1091511	1,2-Diacyl-sn-glycerol(16:0/16:1(9Z))
204767: bigg.metabolite:	12dgr160180	MNXM1091512	1,2-Diacyl-sn-glycerol(16:0/18:0)
204770: bigg.metabolite:	12dgr160182n6	MNXM1091513	1,2-Diacyl-sn-glycerol(16:0/18:2(9Z,12Z))
204773: bigg.metabolite:	12dgr160183n3	MNXM1091514	1,2-Diacyl-sn-glycerol(16:0/18:3(9Z,12Z,15Z))
204776: bigg.metabolite:	12dgr160183n6	MNXM1091515	1,2-Diacyl-sn-glycerol(16:0/18:3(6Z,9Z,12Z))
204779: bigg.metabolite:	12dgr160204n6	MNXM1091516	1,2-Diacyl-sn-glycerol(16:0/20:4(5Z,8Z,11Z,14Z))
204782: bigg.metabolite:	12dgr160205n3	MNXM1091517	1,2-Diacyl-sn-glycerol(16:0/20:5(5Z,8Z,11Z,14Z,17Z))
204785: bigg.metabolite:	12dgr160226n3	MNXM1091518	1,2-Diacyl-sn-glycerol(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
204788: bigg.metabolite:	12dgr1619Z140	MNXM1091519	1,2-Diacyl-sn-glycerol(16:1(9Z)/14:0)
204796: bigg.metabolite:	12dgr1619Z160	MNXM1091520	1,2-Diacyl-sn-glycerol(16:1(9Z)/16:0)
204799: bigg.metabolite:	12dgr1619Z162n4	MNXM1091521	1,2-Diacyl-sn-glycerol(16:1(9Z)/16:2(9Z,12Z))
204802: bigg.metabolite:	12dgr1619Z163n4	MNXM1091522	1,2-Diacyl-sn-glycerol(16:1(9Z)/16:3(6Z,9Z,12Z))
204805: bigg.metabolite:	12dgr1619Z180	MNXM1091523	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:0)
204808: bigg.metabolite:	12dgr1619Z1819Z	MNXM1091524	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:1(9Z))
204811: bigg.metabolite:	12dgr1619Z182n6	MNXM1091525	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:2(9Z,12Z))
204814: bigg.metabolite:	12dgr1619Z183n3	MNXM1091526	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(9Z,12Z,15Z))
204817: bigg.metabolite:	12dgr1619Z183n6	MNXM1091527	1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(6Z,9Z,12Z))
204820: bigg.metabolite:	12dgr1619Z204n6	MNXM1091528	1,2-Diacyl-sn-glycerol(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))
204823: bigg.metabolite:	12dgr1619Z205n3	MNXM1091529	1,2-Diacyl-sn-glycerol(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
204828: bigg.metabolite:	12dgr1619Z226n3	MNXM1091530	1,2-Diacyl-sn-glycerol(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
204831: bigg.metabolite:	12dgr1619Z240	MNXM1091531	1,2-Diacyl-sn-glycerol(16:1(9Z)/24:0)
204834: bigg.metabolite:	12dgr180140	MNXM1091532	1,2-Diacyl-sn-glycerol(18:0/14:0)
204837: bigg.metabolite:	12dgr180160	MNXM1091533	1,2-Diacyl-sn-glycerol(18:0/16:0)
204840: bigg.metabolite:	12dgr1801619Z	MNXM1091534	1,2-Diacyl-sn-glycerol(18:0/16:1(9Z))
204843: bigg.metabolite:	12dgr180182n6	MNXM1091535	1,2-Diacyl-sn-glycerol(18:0/18:2(9Z,12Z))
204846: bigg.metabolite:	12dgr180183n3	MNXM1091536	1,2-Diacyl-sn-glycerol(18:0/18:3(9Z,12Z,15Z))
204849: bigg.metabolite:	12dgr180183n6	MNXM1091537	1,2-Diacyl-sn-glycerol(18:0/18:3(6Z,9Z,12Z))
204852: bigg.metabolite:	12dgr180204n6	MNXM1091538	1,2-Diacyl-sn-glycerol(18:0/20:4(5Z,8Z,11Z,14Z))
204855: bigg.metabolite:	12dgr180205n3	MNXM1091539	1,2-Diacyl-sn-glycerol(18:0/20:5(5Z,8Z,11Z,14Z,17Z))
204860: bigg.metabolite:	12dgr180226n3	MNXM1091540	1,2-Diacyl-sn-glycerol(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
204863: bigg.metabolite:	12dgr1819Z140	MNXM1091541	1,2-Diacyl-sn-glycerol(18:1(9Z)/14:0)
204866: bigg.metabolite:	12dgr1819Z162n4	MNXM1091542	1,2-Diacyl-sn-glycerol(18:1(9Z)/16:2(9Z,12Z))
204869: bigg.metabolite:	12dgr1819Z163n4	MNXM1091543	1,2-Diacyl-sn-glycerol(18:1(9Z)/16:3(6Z,9Z,12Z))
204872: bigg.metabolite:	12dgr1819Z180	MNXM1091544	1,2-Diacyl-sn-glycerol(18:1(9Z)/18:0)
204875: bigg.metabolite:	12dgr1819Z182n6	MNXM1091545	1,2-Diacyl-sn-glycerol(18:1(9Z)/18:2(9Z,12Z))
204878: bigg.metabolite:	12dgr1819Z183n3	MNXM1091546	1,2-Diacyl-sn-glycerol(18:1(9Z)/18:3(9Z,12Z,15Z))
204881: bigg.metabolite:	12dgr1819Z183n6	MNXM1091547	1,2-Diacyl-sn-glycerol(18:1(9Z)/18:3(6Z,9Z,12Z))
204884: bigg.metabolite:	12dgr1819Z204n6	MNXM1091548	1,2-Diacyl-sn-glycerol(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))
204887: bigg.metabolite:	12dgr1819Z205n3	MNXM1091549	1,2-Diacyl-sn-glycerol(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
204892: bigg.metabolite:	12dgr1819Z226n3	MNXM1091550	1,2-Diacyl-sn-glycerol(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
204895: bigg.metabolite:	12dgr182n6140	MNXM1091551	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/14:0)
204898: bigg.metabolite:	12dgr182n6160	MNXM1091552	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/16:0)
204901: bigg.metabolite:	12dgr182n61619Z	MNXM1091553	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/16:1(9Z))
204904: bigg.metabolite:	12dgr182n6180	MNXM1091554	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:0)
204907: bigg.metabolite:	12dgr182n61819Z	MNXM1091555	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:1(9Z))
204910: bigg.metabolite:	12dgr182n6183n3	MNXM1091556	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))
204913: bigg.metabolite:	12dgr182n6183n6	MNXM1091557	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))
204916: bigg.metabolite:	12dgr182n6204n6	MNXM1091558	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))
204919: bigg.metabolite:	12dgr182n6205n3	MNXM1091559	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))
204922: bigg.metabolite:	12dgr182n6226n3	MNXM1091560	1,2-Diacyl-sn-glycerol(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
204925: bigg.metabolite:	12dgr205n3	MNXM1091561	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))
204928: bigg.metabolite:	12dgr205n3140	MNXM1091562	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/14:0)
204931: bigg.metabolite:	12dgr205n3160	MNXM1091563	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)
204934: bigg.metabolite:	12dgr205n31619Z	MNXM1091564	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))
204937: bigg.metabolite:	12dgr205n3162n4	MNXM1091565	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:2(9Z,12Z))
204940: bigg.metabolite:	12dgr205n3163n4	MNXM1091566	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:3(6Z,9Z,12Z))
204943: bigg.metabolite:	12dgr205n3164n1	MNXM1091567	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/16:4(6Z,9Z,12Z,15Z))
204946: bigg.metabolite:	12dgr205n3180	MNXM1091568	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:0)
204949: bigg.metabolite:	12dgr205n31819Z	MNXM1091569	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))
204952: bigg.metabolite:	12dgr205n3182n6	MNXM1091570	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:2(9Z,12Z))
204955: bigg.metabolite:	12dgr205n3183n3	MNXM1091571	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z))
204958: bigg.metabolite:	12dgr205n3183n6	MNXM1091572	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))
204961: bigg.metabolite:	12dgr205n3204n6	MNXM1091573	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(5Z,8Z,11Z,14Z))
204964: bigg.metabolite:	12dgr205n3226n3	MNXM1091574	1,2-Diacyl-sn-glycerol(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
204967: bigg.metabolite:	12dgr226n3	MNXM1091575	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
204970: bigg.metabolite:	12dgr226n3140	MNXM1091576	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)
204973: bigg.metabolite:	12dgr226n3160	MNXM1091577	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)
204976: bigg.metabolite:	12dgr226n31619Z	MNXM1091578	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z))
204979: bigg.metabolite:	12dgr226n3180	MNXM1091579	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)
204984: bigg.metabolite:	12dgr226n31819Z	MNXM1091580	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))
204987: bigg.metabolite:	12dgr226n3182n6	MNXM1091581	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))
204990: bigg.metabolite:	12dgr226n3183n3	MNXM1091582	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))
204993: bigg.metabolite:	12dgr226n3183n6	MNXM1091583	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))
204996: bigg.metabolite:	12dgr226n3204n6	MNXM1091584	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))
204999: bigg.metabolite:	12dgr226n3205n3	MNXM1091585	1,2-Diacyl-sn-glycerol(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))
205002: bigg.metabolite:	12dgr_LLA	MNXM1091586	12diacylglycerollactisspecific
205005: bigg.metabolite:	12dgr_LM	MNXM1091587	12DiacylglycerolLmajor
205008: bigg.metabolite:	12dgr_TB	MNXM1091588	1,2-Diacyl-sn-glycerol
205011: bigg.metabolite:	12dhchol	MNXM1091589	12-Dehydrocholicacid||12-Oxodeoxycholicacid||12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oicacid
205018: bigg.metabolite:	12diisgly	MNXM1091590	12-Diisoheptadecanoyl-sn-glycerol
205021: bigg.metabolite:	12m3htdACP	MNXM1091591	12-methyl-3-hydroxy-tetra-decanoyl-ACP
205024: bigg.metabolite:	12m3otACP	MNXM1091592	12-methyl-3-oxo-tridecanoyl-ACP
205027: bigg.metabolite:	12mdhtACP	MNXM1091593	12-methyl-3-hydroxy-tridecanoyl-ACP
205030: bigg.metabolite:	12methedec	MNXM1091594	12methedecACPc
205033: bigg.metabolite:	12methtetdec2	MNXM1091595	12-methyl-trans-tetra-dec-2-enoyl-ACP
205036: bigg.metabolite:	12mgdg160	MNXM1091596	3-D-glucosyl-1,2-Diacylglycerol(n-C16)
205039: bigg.metabolite:	12mgdg161	MNXM1091597	3-D-glucosyl-1,2-Diacylglycerol(n-C161)
205042: bigg.metabolite:	12mgdg180	MNXM1091598	3-D-glucosyl-1,2-Diacylglycerol(n-C180)
205045: bigg.metabolite:	12mgdg181	MNXM1091599	3-D-glucosyl-1,2-Diacylglycerol(n-C181)
205057: bigg.metabolite:	12mgdg181_9	MNXM1091600	3-D-glucosyl-1,2-Diacylglycerol(n-C181)
205060: bigg.metabolite:	12mgdg182_9_12	MNXM1091601	3-D-glucosyl-1,2-Diacylglycerol(n-C182)
205063: bigg.metabolite:	12mgdg183_6_9_12	MNXM1091602	3-D-glucosyl-1,2-Diacylglycerol(n-C183)
205066: bigg.metabolite:	12mgdg183_9_12_15	MNXM1091603	3-D-glucosyl-1,2-Diacylglycerol(n-C183)
205069: bigg.metabolite:	12mgdg184_6_9_12_15	MNXM1091604	3-D-glucosyl-1,2-Diacylglycerol(n-C184)
205072: bigg.metabolite:	12mtACP	MNXM1091605	12-methyl-tridecanoyl-ACP
205075: bigg.metabolite:	12mtt2eACP	MNXM1091606	12-methyl-trans-tridec-2-enoyl-ACP
205078: bigg.metabolite:	12napdol	MNXM1091607	12-Naphthalenediol
205081: bigg.metabolite:	13glucan	MNXM1091608	Beta-1,3-glucan
205084: bigg.metabolite:	13m3htdACP	MNXM1091609	13-methyl-3-hydroxy-tetra-decanoyl-ACP
205089: bigg.metabolite:	13m3otdACP	MNXM1091610	13-methyl-3-oxo-tetra-decanoyl-ACP
205092: bigg.metabolite:	13mtdACP	MNXM1091611	13-methyl-tetra-decanoyl-ACP
205095: bigg.metabolite:	13mttd2eACP	MNXM1091612	13-methyl-trans-tetra-dec-2-enoyl-ACP
205098: bigg.metabolite:	14denlipidA	MNXM1091613	1'4'bisphosphoethanolaminlipidIVa
205101: bigg.metabolite:	14denlipidA_LptA	MNXM1091614	1'4'bisphosphoethanolaminlipidIVa
205104: bigg.metabolite:	14dh2napcoa	MNXM1091615	1,4-Dihydroxy-2-naphthoyl-CoA
205107: bigg.metabolite:	14m3hdACP	MNXM1091616	14-methyl-3-hydroxy-hexa-decanoyl-ACP
205110: bigg.metabolite:	14m3hpACP	MNXM1091617	14-methyl-3-hydroxy-pentadecanoyl-ACP
205113: bigg.metabolite:	14m3ohdACP	MNXM1091618	14-methyl-3-oxo-hexa-decanoyl-ACP
205116: bigg.metabolite:	14m3opACP	MNXM1091619	14-methyl-3-oxo-pentadecanoyl-ACP
205121: bigg.metabolite:	14mhdACP	MNXM1091620	14-methyl-hexa-decanoyl-ACP
205124: bigg.metabolite:	14mpACP	MNXM1091621	14-methyl-pentadecanoyl-ACP
205127: bigg.metabolite:	14mthdeACP	MNXM1091622	14-methyl-trans-hexa-dec-2-enoyl-ACP
205130: bigg.metabolite:	14mtp2eACP	MNXM1091623	14-methyl-trans-pentadec-2-enoyl-ACP
205133: bigg.metabolite:	15gl	MNXM1091624	D-Glucono-1,5-lactone
205136: bigg.metabolite:	15m3hdACP	MNXM1091625	15-methyl-3-hydroxy-hexa-decanoyl-ACP
205139: bigg.metabolite:	15m3ohdACP	MNXM1091626	15-methyl-3-oxo-hexa-decanoyl-ACP
205142: bigg.metabolite:	15methexeACP	MNXM1091627	15-methyl-trans-hexa-dec-2-enoyl-ACP
205145: bigg.metabolite:	15mhdACP	MNXM1091628	15-methyl-hexa-decanoyl-ACP
205148: bigg.metabolite:	16m3hdACP	MNXM1091629	16-methyl-3-hydroxy-hexa-decanoyl-ACP
205153: bigg.metabolite:	16m3hpACP	MNXM1091630	16-methyl-3-hydroxy-pentadecanoyl-ACP
205156: bigg.metabolite:	16m3ohdACP	MNXM1091631	16-methyl-3-oxo-hexa-decanoyl-ACP
205159: bigg.metabolite:	16m3opACP	MNXM1091632	16-methyl-3-oxo-pentadecanoyl-ACP
205162: bigg.metabolite:	16mhdACP	MNXM1091633	16-methyl-hexa-decanoyl-ACP
205165: bigg.metabolite:	16mpACP	MNXM1091634	16-methyl-pentadecanoyl-ACP
205168: bigg.metabolite:	16mthdeACP	MNXM1091635	16-methyl-trans-hexa-dec-2-enoyl-ACP
205171: bigg.metabolite:	16mtp2eACP	MNXM1091636	16-methyl-trans-pentadec-2-enoyl-ACPNADoxidoreductaseA-specific
205174: bigg.metabolite:	17m3hdACP	MNXM1091637	17-methyl-3-hydroxy-hexa-decanoyl-ACP
205177: bigg.metabolite:	17m3ohdACP	MNXM1091638	17-methyl-3-oxo-hexa-decanoyl-ACP
205180: bigg.metabolite:	17mhdACP	MNXM1091639	17-methyl-hexa-decanoyl-ACP
205185: bigg.metabolite:	17mthdeACP	MNXM1091640	17-methyl-trans-hexa-dec-2-enoyl-ACP
205188: bigg.metabolite:	1ag160	MNXM1091641	1Acylsnglycerolhexadecanoate
205191: bigg.metabolite:	1ag180	MNXM1091642	1Acylsnglyceroloctadecanoate
205194: bigg.metabolite:	1ag181d9	MNXM1091643	1AcylsnglycerolnC181d9
205197: bigg.metabolite:	1ag182d9d12	MNXM1091644	1AcylsnglycerolnC182d9d12
205200: bigg.metabolite:	1ag3p	MNXM1091645	1-Acyl-sn-glycerol3-phosphate
205203: bigg.metabolite:	1ag3p_LM	MNXM1091646	1Acylsnglycerol3phosphateLmajor
205206: bigg.metabolite:	1agly3p_LM	MNXM1091647	GlyceronephosphateLmajor
205209: bigg.metabolite:	1agpc140	MNXM1091648	1-14:0-2-lysophosphatidylcholine
205212: bigg.metabolite:	1agpc160	MNXM1091649	1-16:0-2-lysophosphatidylcholine
205215: bigg.metabolite:	1agpc161	MNXM1091650	1-16:1(9Z)-2-lysophosphatidylcholine
205218: bigg.metabolite:	1agpc180	MNXM1091651	1-18:0-2-lysophosphatidylcholine
205221: bigg.metabolite:	1agpc181	MNXM1091652	1-18:1(9Z)-2-lysophosphatidylcholine
205224: bigg.metabolite:	1agpc182	MNXM1091653	1-18:2(9Z,12Z)-2-lysophosphatidylcholine
