BiGG,MNXM,description
M_odecoa_c,MNXM1105956,Octadecenoyl-CoA (n-C18:1CoA)
M_urate_c,MNXM1105965,Urate
M_adpglc_c,MNXM1105977,ADPglucose
M_air_c,MNXM1105983,5-amino-1-(5-phospho-D-ribosyl)imidazole
M_acmanap_c,MNXM1105998,N-Acetyl-D-mannosamine 6-phosphate
M_acgam6p_c,MNXM1105999,N-Acetyl-D-glucosamine 6-phosphate
M_aact_c,MNXM1106,Aminoacetone
M_malt_c,MNXM1106000,Maltose
M_gdpfuc_c,MNXM1106003,GDP-L-fucose
M_oc2coa_c,MNXM1106007,Trans-Oct-2-enoyl-CoA
M_tre_c,MNXM1106022,Trehalose
M_metsox_S__L_c,MNXM1106045,L-Methionine Sulfoxide
M_acnam_c,MNXM1106047,N-Acetylneuraminate
M_man1p_c,MNXM1106057,D-Mannose 1-phosphate
M_g1p_c,MNXM1106065,D-Glucose 1-phosphate
M_gal1p_c,MNXM1106067,Alpha-D-Galactose 1-phosphate
M_g3pe_c,MNXM1106082,Sn-Glycero-3-phosphoethanolamine
M_malcoa_c,MNXM1106093,Malonyl CoA
M_fdp_c,MNXM1106095,"D-Fructose 1,6-bisphosphate"
M_minohp_c,MNXM1106105,Myo-Inositol hexakisphosphate
M_dtdprmn_c,MNXM1106112,DTDP-L-rhamnose
M_hdcoa_c,MNXM1106135,Hexadecenoyl-CoA (n-C16:1CoA)
M_ppcoa_c,MNXM1106156,Propanoyl-CoA
M_pmtcoa_c,MNXM1106160,Palmitoyl-CoA (n-C16:0CoA)
M_lys__L_c,MNXM1106164,L-Lysine
M_3hhdcoa_c,MNXM1106166,(S)-3-Hydroxyhexadecanoyl-CoA
M_g3pg_c,MNXM1106891,Glycerophosphoglycerol
M_fuc__L_c,MNXM1106903,L-Fucose
M_2dglc_c,MNXM1107111,2 Deoxy D glucose
M_udcpdp_c,MNXM1107136,Undecaprenyl diphosphate
M_mal__L_c,MNXM1107192,L-Malate
M_uamr_c,MNXM1107410,UDP-N-acetylmuramate
M_2fe2s_c,MNXM1107419,[2Fe-2S] iron-sulfur cluster
M_fmnh2_c,MNXM1107623,Reduced FMN
M_LalaDgluMdap_c,MNXM1107671,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate"
M_appl_c,MNXM1107675,1-Aminopropan-2-ol
M_galct__D_c,MNXM1107694,D-Galactarate
M_glcr_c,MNXM1107695,D-Glucarate
M_23ddhb_c,MNXM1107702,"2,3-Dihydro-2,3-dihydroxybenzoate"
M_dtdp4addg_c,MNXM1107704,"DTDP-4-amino-4,6-dideoxy-D-galactose"
M_ocdcea_c,MNXM1107708,Octadecenoate (n-C18:1)
M_cpmp_c,MNXM1107741,Cyclic pyranopterin monophosphate
M_hemeO_c,MNXM1107744,Heme O
M_cit_c,MNXM1107753,Citrate
M_dmlz_c,MNXM1107754,"6,7-Dimethyl-8-(1-D-ribityl)lumazine"
M_u3aga_c,MNXM1107760,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
M_u3hga_c,MNXM1107764,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine
M_his__L_c,MNXM1107769,L-Histidine
M_6pgg_c,MNXM1107797,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose"
M_fe3dcit_c,MNXM1107801,Fe(III)dicitrate
M_asn__L_c,MNXM1107821,L-Asparagine
M_murein4px4px4p_c,MNXM1107894,Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)
M_f6p_c,MNXM1107898,D-Fructose 6-phosphate
M_hdcea_c,MNXM1107900,Hexadecenoate (n-C16:1)
M_no_c,MNXM1107902,Nitric oxide
M_mmcoa__S_c,MNXM1107904,(S)-Methylmalonyl-CoA
M_o2s_c,MNXM1107906,Superoxide anion
M_dhpmp_c,MNXM1107940,Dihydroneopterin monophosphate
M_adphep_DD_c,MNXM1107947,ADP-D-glycero-D-manno-heptose
M_gmhep1p_c,MNXM1107954,D-Glycero-D-manno-heptose 1-phosphate
M_hkndd_c,MNXM1107974,"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate"
M_ttdcea_c,MNXM1107981,Tetradecenoate (n-C14:1)
M_3hcinnm_c,MNXM1107995,3-hydroxycinnamic acid
M_nicrnt_c,MNXM1108016,Nicotinate D-ribonucleotide
M_h2_c,MNXM1108018,Hydrogen
M_rib__D_c,MNXM1108051,D-Ribose
M_dhptd_c,MNXM1108056,"4,5-dihydroxy-2,3-pentanedione"
M_13dpg_c,MNXM1108073,3-Phospho-D-glyceroyl phosphate
M_etoh_c,MNXM1108092,Ethanol
M_ppp9_c,MNXM1108136,Protoporphyrin
M_2dr1p_c,MNXM1108138,2-Deoxy-D-ribose 1-phosphate
M_gal_c,MNXM1108175,D-Galactose
M_asp__L_c,MNXM1108206,L-Aspartate
M_3sala_c,MNXM1108289,3-Sulfino-L-alanine
M_adphep_LD_c,MNXM1108522,ADP-L-glycero-D-manno-heptose
M_gal_bD_c,MNXM112,Beta D-Galactose
M_pro__L_c,MNXM114,L-Proline
M_dann_c,MNXM1140,"7,8-Diaminononanoate"
M_2aobut_c,MNXM114087,L-2-Amino-3-oxobutanoate
M_sucorn_c,MNXM1152,N2-Succinyl-L-ornithine
M_slnt_c,MNXM1157,Selenite
M_frulysp_c,MNXM11605,Fructoselysine Phosphate
M_2mecdp_c,MNXM1168,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate"
M_urea_c,MNXM117,Urea
M_3dhgulnp_c,MNXM1170,3-keto-L-gulonate-6-phosphate
M_4h2opntn_c,MNXM1176,4-Hydroxy-2-oxopentanoate
M_4pasp_c,MNXM1177,4-Phospho-L-aspartate
M_5aprbu_c,MNXM1178,5-Amino-6-(5'-phosphoribitylamino)uracil
M_hacolipa_c,MNXM11799,Hepta-acylated core oligosaccharide lipid A (E. coli)
M_ptrc_c,MNXM118,Putrescine
M_ara5p_c,MNXM1184,D-Arabinose 5-phosphate
M_ppgpp_c,MNXM1189,"Guanosine 3',5'-bis(diphosphate)"
M_mpt_c,MNXM1193,Molybdopterin
M_23dhmp_c,MNXM1202,"(R)-2,3-Dihydroxy-3-methylpentanoate"
M_sucbz_c,MNXM1212,O-Succinylbenzoate
M_mercppyr_c,MNXM1214,Mercaptopyruvate
M_2dda7p_c,MNXM1219,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
M_5prdmbz_c,MNXM1224,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole"
M_hcys__L_c,MNXM123,L-Homocysteine
M_galt_c,MNXM1233,Galactitol
M_xu5p__L_c,MNXM1238,L-Xylulose 5-phosphate
M_spmd_c,MNXM124,Spermidine
M_h2s_c,MNXM124865,Hydrogen sulfide
M_12ppd__S_c,MNXM1255,"(S)-Propane-1,2-diol"
M_skm5p_c,MNXM1265,Shikimate 5-phosphate
M_met__D_c,MNXM1275,D-Methionine
M_ca2_c,MNXM128,Calcium
M_glu5p_c,MNXM1280,L-Glutamate 5-phosphate
M_histd_c,MNXM1281,L-Histidinol
M_co2_c,MNXM13,CO2
M_dmpp_c,MNXM132,Dimethylallyl diphosphate
M_phom_c,MNXM1334,O-Phospho-L-homoserine
M_selnp_c,MNXM1339,Selenophosphate
M_3psme_c,MNXM1365,5-O-(1-Carboxyvinyl)-3-phosphoshikimate
M_ghb_c,MNXM13761,Gamma-hydroxybutyrate
M_ggbutal_c,MNXM1378,Gamma-glutamyl-gamma-butyraldehyde
M_cbp_c,MNXM138,Carbamoyl phosphate
M_acg5p_c,MNXM1384,N-Acetyl-L-glutamyl 5-phosphate
M_prfp_c,MNXM1397,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide
M_34dhpac_c,MNXM1401,"3,4-Dihydroxyphenylacetaldehyde"
M_pppn_c,MNXM1403,Phenylpropanoate
M_gg4abut_c,MNXM1406,Gamma-glutamyl-gamma aminobutyric acid
M_4per_c,MNXM1407,4-Phospho-D-erythronate
M_prlp_c,MNXM1408,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide
M_thr__L_c,MNXM142,L-Threonine
M_eig3p_c,MNXM1422,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
M_ala_B_c,MNXM144,Beta-Alanine
M_ugmd_c,MNXM1446,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate"
M_ru5p__D_c,MNXM145,D-Ribulose 5-phosphate
M_glu1sa_c,MNXM1453,L-Glutamate 1-semialdehyde
M_2cpr5p_c,MNXM1455,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
M_imacp_c,MNXM1456,3-(Imidazol-4-yl)-2-oxopropyl phosphate
M_4adcho_c,MNXM1458,4-amino-4-deoxychorismate
M_um4p_c,MNXM147329,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine"
M_hisp_c,MNXM1482,L-Histidinol phosphate
M_mso3_c,MNXM1485,Methanesulfonate
M_pran_c,MNXM1489,N-(5-Phospho-D-ribosyl)anthranilate
M_thrp_c,MNXM1492,L-Threonine O-3-phosphate
M_ppap_c,MNXM1499,Propanoyl phosphate
M_udpLa4o_c,MNXM1505,UDP-4-keto-pyranose
M_ohpb_c,MNXM1514,2-Oxo-3-hydroxy-4-phosphobutanoate
M_g3pi_c,MNXM1517,Sn-Glycero-3-phospho-1-inositol
M_dtdp_c,MNXM152,DTDP
M_3hppnl_c,MNXM1526,3-Hydroxypropanal
M_34hpp_c,MNXM153,3-(4-Hydroxyphenyl)pyruvate
M_dmbzid_c,MNXM1531,"5,6-Dimethylbenzimidazole"
M_5apru_c,MNXM1532,5-Amino-6-(5'-phosphoribosylamino)uracil
M_gdptp_c,MNXM1561,Guanosine 3'-diphosphate 5'-triphosphate
M_hg2_c,MNXM1562,Mercury charged 2
M_sl2a6o_c,MNXM1563,N-Succinyl-2-L-amino-6-oxoheptanedioate
M_idon__L_c,MNXM1565,L-Idonate
M_ura_c,MNXM158,Uracil
M_2obut_c,MNXM159,2-Oxobutanoate
M_3c4mop_c,MNXM1602,3-Carboxy-4-methyl-2-oxopentanoate
M_mal__D_c,MNXM1608,D-Malate
M_pydx5p_c,MNXM161,Pyridoxal 5'-phosphate
M_3amac_c,MNXM162288,3-Aminoacrylate
M_2dh3dgal_c,MNXM1627,2-Dehydro-3-deoxy-D-galactonate
M_isetac_c,MNXM1630,Isethionic acid
M_3hpppn_c,MNXM1634,3-(3-hydroxy-phenyl)propionate
M_2ohph_c,MNXM1635,2-Octaprenyl-6-hydroxyphenol
M_4hbz_c,MNXM164,4-Hydroxybenzoate
M_2p4c2me_c,MNXM1641,2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
M_hxa_c,MNXM1653,Hexanoate (n-C6:0)
M_n8aspmd_c,MNXM1679,N8-Acetylspermidine
M_ade_c,MNXM168,Adenine
M_2ippm_c,MNXM1706,2-Isopropylmaleate
M_2omph_c,MNXM1707,2-Octaprenyl-6-methoxyphenol
M_sucsal_c,MNXM172,Succinic semialdehyde
M_galctn__D_c,MNXM1734,D-Galactonate
M_xan_c,MNXM174,Xanthine
M_frulys_c,MNXM1742,Fructoselysine
M_acetol_c,MNXM1744,Acetol cytosol
M_sucarg_c,MNXM1756,N2-Succinyl-L-arginine
M_sucglu_c,MNXM1757,N2-Succinyl-L-glutamate
M_sucgsa_c,MNXM1763,N2-Succinyl-L-glutamate 5-semialdehyde
M_pg120_c,MNXM1771,"Phosphatidylglycerol (didodecanoyl, n-C12:0)"
M_udpLa4n_c,MNXM1786,Uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose
M_2mcacn_c,MNXM1792,Cis-2-Methylaconitate
M_4hthr_c,MNXM1802,4-Hydroxy-L-threonine
M_xu5p__D_c,MNXM186,D-Xylulose 5-phosphate
M_36dahx_c,MNXM1865,"(3S)-3,6-Diaminohexanoate"
M_anth_c,MNXM188,Anthranilate
M_2oph_c,MNXM1886,2-Octaprenylphenol
M_q8h2_c,MNXM191,Ubiquinol-8
M_4abut_c,MNXM192,4-Aminobutanoate
M_dimp_c,MNXM1922,DIMP
M_acanth_c,MNXM1939,N-Acetylanthranilate
M_sulfac_c,MNXM1949,Sulfoacetate
M_23dhba_c,MNXM1978,"(2,3-Dihydroxybenzoyl)adenylate"
M_dhgly_c,MNXM1984,Dehydroglycine
M_val__L_c,MNXM199,L-Valine
M_akg_c,MNXM20,2-Oxoglutarate
M_altrn_c,MNXM2011,D-Altronate
M_pg141_c,MNXM2029,"Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)"
M_dopa_c,MNXM205,Dopamine
M_2pglyc_c,MNXM2074,2-Phosphoglycolate
M_cys__D_c,MNXM2112,D-Cysteine
M_2amsa_c,MNXM2124,2-Aminomalonate semialdehyde
M_athr__L_c,MNXM2125,L-Allo-threonine
M_pe181_c,MNXM2150,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)"
M_ncam_c,MNXM216,Nicotinamide
M_didp_c,MNXM2174,DIDP||2'-deoxyinosine-5'-diphosphate(3-)
M_2dmmq8_c,MNXM2178,2-Demethylmenaquinone 8
M_etha_c,MNXM218,Ethanolamine
M_3cmp_c,MNXM2182,3 CMP
M_3gmp_c,MNXM2183,Guanosine 3 phosphate
M_3ophb_c,MNXM2195,3-Octaprenyl-4-hydroxybenzoate
M_aacald_c,MNXM2212,Aminoacetaldehyde
M_glyclt_c,MNXM222,Glycolate
M_mql8_c,MNXM223,Menaquinol 8
M_metsox_R__L_c,MNXM2245,L-methionine-R-sulfoxide
M_mn2_c,MNXM2255,Manganese
M_psd5p_c,MNXM2276,Pseudouridine 5 phosphate
M_sel_c,MNXM2282,Selenate
M_tdecoa_c,MNXM2290,Tetradecenoyl-CoA (n-C14:1CoA)
M_pyr_c,MNXM23,Pyruvate
M_uracp_c,MNXM2304,Ureidoacrylate peracid
M_14dhncoa_c,MNXM2306,"1,4-dihydroxy-2-napthoyl-CoA"
M_q8_c,MNXM232,Ubiquinone-8
M_dump_c,MNXM234,DUMP
M_orot_c,MNXM235,Orotate
M_ocdca_c,MNXM236,Octadecanoate (n-C18:0)
M_ap5a_c,MNXM2412,"P1,P5-Bis(5'-adenosyl) pentaphosphate"
M_camp_c,MNXM243,CAMP
M_msa_c,MNXM244,Malonate semialdehyde
M_pheme_c,MNXM249,Protoheme
M_succ_c,MNXM25,Succinate
M_dhor__S_c,MNXM252,(S)-Dihydroorotate
M_glyc2p_c,MNXM2527,Glycerol 2-phosphate
M_thmpp_c,MNXM256,Thiamine diphosphate
M_dtmp_c,MNXM257,DTMP
M_e4p_c,MNXM258,D-Erythrose 4-phosphate
M_23camp_c,MNXM2598,"2',3'-Cyclic AMP"
M_ac_c,MNXM26,Acetate
M_dcmp_c,MNXM266,DCMP
M_hlipa_c,MNXM2680,Heptosyl-kdo2-lipidA
M_na1_c,MNXM27,Sodium
M_ribflv_c,MNXM270,Riboflavin
M_nac_c,MNXM274,Nicotinate
M_2pg_c,MNXM275,D-Glycerate 2-phosphate
